id,sta,dH,tm_model,rata,airs,ecmwf,bevis,gpt3,mendes,schue,avg,chk
1,ARNG,-162,meo,0,0.7,0.4,1.6,1.6,1.4,2.5,0.55,
2,ARNG,-162,airs,0.1,0.7,0.4,1.7,1.6,1.5,2.6,0.55,
3,ARNG,-162,gpt3,0,0.7,0.4,1.6,1.6,1.4,2.5,0.55,
4,ATRG,-51,meo,-1,-0.2,-0.5,0.7,0.7,0.5,1.6,0.35,
5,ATRG,-51,airs,-0.8,-0.1,-0.4,0.9,0.7,0.7,1.9,0.25,
6,ATRG,-51,gpt3,-1,-0.2,-0.4,0.7,0.7,0.5,1.7,0.3,
7,AUPG,-276,meo,0.2,0.7,0.5,1.2,1.2,1.1,1.8,0.6,
8,AUPG,-276,airs,0.2,0.7,0.5,1.3,1.2,1.2,1.9,0.6,
9,AUPG,-276,gpt3,0.3,0.7,0.6,1.4,1.2,1.3,2,0.65,
10,AYYA,1,meo,-0.3,0.5,0.3,1,1.2,0.8,1.9,0.4,
11,AYYA,1,airs,0,0.6,0.5,1.3,1.2,1.2,2.1,0.55,
12,AYYA,1,gpt3,0.1,0.7,0.5,1.4,1.2,1.3,2.2,0.6,
13,BLMG,-39,meo,-0.8,0,-0.2,0.6,0.7,0.5,1.5,0.1,
14,BLMG,-39,airs,-0.4,0.2,0,1.1,0.7,0.9,1.9,0.1,
15,BLMG,-39,gpt3,-0.5,0.2,0,1,0.7,0.8,1.8,0.1,
16,BTAK,-231,meo,0.7,1.3,1.2,1.7,2,1.6,2.4,1.25,chk
17,BTAK,-231,airs,0.9,1.4,1.2,2,2,1.8,2.6,1.3,chk
18,BTAK,-231,gpt3,1,1.5,1.3,2.1,2,2,2.7,1.4,chk
19,CHAN,-79,meo,-1.4,-0.7,-0.9,0.1,0,-0.1,0.9,0.8,
20,CHAN,-79,airs,-1.2,-0.6,-0.8,0.2,0,0.1,1.1,0.7,
21,CHAN,-79,gpt3,-1.3,-0.6,-0.8,0.2,0,0,1,0.7,
22,CHDN,-92,meo,0.3,1,0.8,1.6,1.6,1.4,2.4,0.9,
23,CHDN,-92,airs,0.4,1.1,0.9,1.7,1.6,1.6,2.5,1,
24,CHDN,-92,gpt3,0.5,1.1,0.9,1.8,1.6,1.7,2.6,1,
25,CHMA,-258,meo,-1.1,-0.5,-0.7,-0.1,0.2,-0.2,0.6,0.6,
26,CHMA,-258,airs,-0.9,-0.4,-0.6,0.2,0.2,0.1,0.8,0.5,
27,CHMA,-258,gpt3,-0.8,-0.4,-0.5,0.3,0.2,0.2,0.8,0.45,
28,CHPM,-78,meo,-0.4,0.3,0.1,0.8,1,0.7,1.6,0.2,
29,CHPM,-78,airs,-0.2,0.4,0.2,1.1,1,0.9,1.8,0.3,
30,CHPM,-78,gpt3,-0.1,0.5,0.3,1.2,1,1.1,1.9,0.4,
31,CLPK,-313,meo,-0.8,-0.3,-0.5,0.2,0.4,0.1,0.8,0.4,
32,CLPK,-313,airs,-0.7,-0.3,-0.5,0.3,0.4,0.2,0.9,0.4,
33,CLPK,-313,gpt3,-0.6,-0.2,-0.4,0.4,0.4,0.4,1,0.3,
34,CMPN,-77,meo,-0.3,0.3,0.1,0.9,0.9,0.8,1.7,0.2,
35,CMPN,-77,airs,-0.2,0.4,0.2,1.1,0.9,1,1.9,0.3,
